Cluster,Recency,Frequency,MonetaryTotal,SatisfactionScore,CustomerTenureDays,ReturnRatio,Churn
0,0.298,-0.309,-0.574,0.017,-0.511,-0.001,0.464
1,-0.603,0.624,1.159,-0.035,1.032,0.001,0.067
