name,roc_auc,cv_mean,precision_1,recall_1,f1_1
Naive Bayes (PCA),0.9900555477098338,0.9802761537930124,0.9657534246575342,0.9690721649484536,0.967409948542024
Random Forest,1.0,1.0,1.0,1.0,1.0
